Date,title,Keywords,Good,Bad,Intermediate
2024-03-21,美 3월 제조업 PMI 52.5…21개월 만 최고치,,0,0,1
2024-03-22,"뉴욕증시, 고점 부담 속에 혼조세로 출발",,0,0,1
2024-03-23,우리가 아는 ‘노브랜드’인줄 알았는데…상장한다는 노브랜드의 정체,,0,0,1
2024-03-24,반도체 잘 나가는데 나홀로 신저가…소액주주 소송 나선 ‘이 종목’,,0,0,1
2024-03-25,"뉴욕증시, 기술주 하락 속에 약세 출발","하락, 약세",0,1,0
2024-03-26,"뉴욕증시, 이번 주 PCE 물가 앞두고 상승 출발",상승,1,0,0
2024-03-27,"뉴욕증시, 투자자들의 관망세에 혼조세로 출발",,0,0,1
2024-03-28,NH농협·SC제일도 홍콩 ELS 자율배상 결의… 다음주부터 배상절차 돌입,,0,0,1
2024-03-29,"슈퍼드라이 CEO 던커튼 ""패션 체인에 입찰하지 않을것""",,0,0,1
2024-03-30,"""피해액 무려 1조…속지 말라"" 홍진경, 주의 당부한 이유",,0,0,1
2024-03-31,"피델리티, X 지분 5.6% 매각…""머스크 인수 후 기업가치 73% 급락""",급락,0,1,0
2024-04-01,3개월새 회사채에 100조 넘게 몰렸다…역대급 연초효과,역대,1,0,0
2024-04-02,"‘위대한 7’ 가고 ‘놀라운 4’ 왔다…서학개미 최애 종목, 테슬라가 아니네",,0,0,1
2024-04-03,"뉴욕증시, 파월 연설 앞두고 견조한 ADP민간고용에 혼조 출발",,0,0,1
2024-04-04,"제프리스 “메타, 광고 점유율 높아질 것”...'매수' 유지",,0,0,1
2024-04-05,"뉴욕증시, 3월 비농업 고용 호조에 상승",상승,1,0,0
2024-04-06,"알리바바 회장 ""中 기업 AI 기술, 美에 2년 뒤처졌다""",,0,0,1
2024-04-07,해외부동산 침체 '물타기'로 버텨보자…출구 찾는 기관들,,0,0,1
2024-04-08,"뉴욕증시, 보합권서 상승세…3월 CPI 대기",상승,1,0,0
2024-04-09,'라임사태 주범 이인광과 공모' 코스닥상장사 전 대표 구속,,0,0,1
2024-04-10,"뉴욕증시, 3월 CPI 충격에 급락 출발",급락,0,1,0
2024-04-11,"뉴욕증시, PPI 완화에 안도하며 혼조 출발",,0,0,1
2024-04-12,"씨티, 테슬라 목표가 180달러로 하향...'중립' 의견 유지",,0,0,1
2024-04-13,美 경제지표 대체 어느정도길래…시장선 이미 9월 인하론도 ‘솔솔’,,0,0,1
2024-04-14,달러당 1400원 ‘초읽기’...예상 웃돈 물가충격에 전쟁 리스크까지 첩첩산중,,0,0,1
2024-04-15,"뉴욕증시, 중동 확전 리스크 완화에 반등…3월 소비 깜짝 증가",,0,0,1
2024-04-16,"뉴욕증시, 지정학적 위험·파월 발언 주목하며 혼조 출발",,0,0,1
2024-04-17,"뉴욕증시, 금리인하 지연 우려·실적시즌 살피며 혼조 출발",,0,0,1
2024-04-18,130만원 올림픽 티켓 뇌물 주의보,,0,0,1
2024-04-19,"미 S&P500지수, 2월 이후 처음으로 장중 5000선 밑돌아",,0,0,1
2024-04-20,[하나證 주간추천주]현대로템·코스맥스·아프리카TV,,0,0,1
2024-04-21,'주4일 근무' 해답은 유연근무제 확대,,0,0,1
2024-04-22,"뉴욕증시, 이번주 빅테크 실적 대기하며 상승…3월 PCE 물가 주목",상승,1,0,0
2024-04-23,"뉴욕증시, 기업실적 주목하며 상승 출발",상승,1,0,0
2024-04-24,"뉴진스, 1인 당 52억 정산 추정···어도어, 하이브 레이블 중 '매출 톱3'",,0,0,1
2024-04-25,"美 신규 실업수당 청구건수, 두 달 만에 최저",,0,0,1
2024-04-26,"뉴욕증시, PCE 인플레 안도·기업 실적에 상승 출발",상승,1,0,0
2024-04-27,"'하이브-민희진 사태' 시총 1조2천억 증발…외신 ""K팝 성장통"" 보도",,0,0,1
2024-04-28,"머스크, 베이징 깜짝 방문…자율주행車 출시로 돌파구 모색",,0,0,1
2024-04-29,"뉴욕증시, 테슬라·실적 시즌 기대에 상승 출발",상승,1,0,0
2024-04-30,유로존 1분기 GDP 0.3％↑…기술적 경기침체 벗어나(종합),,0,0,1
2024-05-01,"뉴욕증시, 파월 기자회견 기다리며 혼조 출발",,0,0,1
2024-05-02,"뉴욕증시, '비둘기 연준' 여파에 상승 출발",상승,1,0,0
2024-05-03,"뉴욕증시, '골디락스' 비농업 고용에 상승 출발",상승,1,0,0
2024-05-04,고려아연 1천500억원 자사주 매입…'경영권 분쟁' 영풍 반발,,0,0,1
2024-05-05,"TSMC ""테슬라 AI 슈퍼컴퓨터 탑재 반도체 생산""",,0,0,1
2024-05-06,"뉴욕증시, 연준 올해 금리인하 기대에 상승 출발",상승,1,0,0
2024-05-07,"뉴욕증시, 금리인하 기대 속 혼조세…다우·S&P500 ↑",,0,0,1
2024-05-08,"뉴욕증시, 금리인하 불확실성에 혼조 출발",,0,0,1
2024-05-09,"뉴욕증시, 고용 냉각 신호에 상승 전환",상승,1,0,0
2024-05-10,"[속보]뉴욕 증시, 상승 개장…다우 0.36%↑ 나스닥 0.45%↑",상승,1,0,0
2024-05-11,고려아연 주가 연일 상승 랠리,상승,1,0,0
2024-05-12,"美 유권자 80% ""인플레가 가장 큰 걱정""…바이든 재선 가도 빨간불",,0,0,1
2024-05-13,하이브·YG·SM에 JYP까지…K팝 엔터제국이 흔들린다,,0,0,1
2024-05-14,“금투세는 제2 종부세”…대토론 필요한 이유[최훈길의뒷담화],,0,0,1
2024-05-15,"뉴욕증시, 4월 CPI 지표에 고무돼 역대 최고치 경신하며 출발",역대,1,0,0
2024-05-16,"뉴욕증시, 다우 역대 최초 4만선 돌파하며 출발",역대,1,0,0
2024-05-17,"뉴욕증시, 신기록 기대하며 상승세 출발",상승,1,0,0
2024-05-18,"“상승여력 있다는데, 막차 타야 하나”…실적 발표 닷새 남은 이 종목",상승,1,0,0
2024-05-19,"트럼프, 3선 대통령 야심 시사…""루즈벨트는 16년 재임""",,0,0,1
2024-05-20,"뉴욕증시, 엔비디아 실적발표 앞두고 상승세 출발",상승,1,0,0
2024-05-21,“드디어 바닥 탈출하나”...호실적에 줄줄이 상승하는 게임주,상승,1,0,0
2024-05-22,"뉴욕증시, 엔비디아 실적발표 D-데이 혼조세 출발",,0,0,1
2024-05-23,"뉴욕증시, 엔비디아 호실적에 나스닥·S&P500 기록 경신 출발",,0,0,1
2024-05-24,"뉴욕증시, 연준 의사록 공개 여파 딛고 반등세 출발",,0,0,1
2024-05-25,'중국·사우디에 투자해볼까' KB 본사맞춤형 랩 상품 출시,,0,0,1
2024-05-26,"美, 中 수입품 200여개에 관세 면제 조치 종료",,0,0,1
2024-05-27,"하이브, SM 주식 75만주 블록딜 추진",,0,0,1
2024-05-28,"뉴욕증시, 나스닥 1만7천선 돌파 속 혼조로 출발",,0,0,1
2024-05-29,"뉴욕증시, 인플레 재가속화 우려로 하락세 출발","하락, 하락세",0,1,0
2024-05-30,"뉴욕증시, 실망스런 기업 실적 여파로 하락세 출발","하락, 하락세",0,1,0
2024-05-31,"뉴욕증시, 양호한 인플레 지표가 투자심리 견인 못해 혼조 출발",,0,0,1
2024-06-01,비트코인 4200억 어디로 흘러갔나…日서 부정유출 발생,,0,0,1
2024-06-02,"한투운용, 커버드콜 3종 순자산 1000억 돌파 외 [마이머니 단신]",,0,0,1
2024-06-03,"뉴욕증시, 6월 첫 거래일 시세오류 혼란 속에 혼조 출발",,0,0,1
2024-06-04,"뉴욕증시, '서머타임 블루스' 우려 속 혼조 출발",,0,0,1
2024-06-05,“전기 부족하다는 소식에 기대감 폭발”…올들어 39% 급등한 ‘이 종목’,급등,1,0,0
2024-06-06,"뉴욕증시, 최고기록 경신 기술주 피로감 보여 혼조 출발",,0,0,1
2024-06-07,"뉴욕증시, 고용지표에 금리인하 기대 '찬물'…혼조 출발",,0,0,1
2024-06-08,공매도부터 금투세까지…이복현 ‘백플 2년’ 거침 없었다[최훈길의뒷담화],,0,0,1
2024-06-09,공모주 ‘슈퍼위크’···이번주에만 9종목 청약,,0,0,1
2024-06-10,"뉴욕증시, 연준 통화정책·인플레 지표 기다리며 하락 출발",하락,0,1,0
2024-06-11,"뉴욕증시, FOMC 첫날에 투자자들 숨죽여…일제히 하락 출발",하락,0,1,0
2024-06-12,"뉴욕증시, FOMC 결과 앞두고 인플레 지표에 고무돼 상승 출발",상승,1,0,0
2024-06-13,"뉴욕증시, FOMC 결과 소화·새 인플레 지표 주목…혼조 출발",,0,0,1
